Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.18144E-4,42.517865107,0.635935379,0.148262471,0.296296296,0
2.2058E-4,42.759170394,0.640020997,0.147167181,0.314814815,0
2.22151E-4,43.002738203,0.642631233,0.146071891,0.314814815,0
2.24775E-4,43.2708267,0.64694843,0.144877029,0.351851852,0
2.27254E-4,43.519542979,0.650978318,0.143781739,0.351851852,0
2.30151E-4,43.771197321,0.65563111,0.142686448,0.351851852,0
2.31556E-4,44.001994554,0.657864469,0.14169073,0.351851852,0
2.33487E-4,44.258198697,0.660911192,0.14059544,0.351851852,0
2.35697E-4,44.516191637,0.664364554,0.139500149,0.351851852,0
2.37106E-4,46.34158678,0.666548061,0.131833118,0.388888889,0
2.37295E-4,46.768699577,0.666840209,0.130040824,0.388888889,0
2.37295E-4,51.063746326,0.666840209,0.112018321,0.388888889,0
2.37324E-4,51.348503648,0.66688405,0.110823459,0.425925926,0
2.38286E-4,51.514933045,0.668365541,0.110126456,0.425925926,0
2.40598E-4,51.777836517,0.671897325,0.109031166,0.425925926,0
2.43499E-4,52.020313466,0.676276783,0.108035448,0.425925926,0
2.48527E-4,52.265923753,0.683729137,0.107039729,0.425925926,0
2.52008E-4,52.516691346,0.688788312,0.106044011,0.425925926,0
2.55146E-4,52.770529993,0.69327829,0.105048292,0.425925926,0
2.5709E-4,53.001024229,0.696028559,0.104152146,0.425925926,0
2.60664E-4,53.260035229,0.701018226,0.103156427,0.425925926,0
2.63352E-4,53.522358083,0.704718761,0.102160709,0.425925926,0
2.64569E-4,53.759992317,0.706377659,0.101264562,0.425925926,0
2.68363E-4,54.026990218,0.711492909,0.100268844,0.425925926,0
2.69982E-4,54.269229725,0.713648809,0.099372697,0.425925926,0
2.73252E-4,54.513823056,0.717953267,0.098476551,0.425925926,0
2.76456E-4,54.761914914,0.722107803,0.097580404,0.425925926,0
2.80209E-4,55.012757225,0.726896554,0.096684258,0.425925926,0
2.86284E-4,55.267978526,0.734474009,0.095788111,0.425925926,0
2.88769E-4,55.52664619,0.737513591,0.094891965,0.425925926,0
2.9136E-4,55.758990311,0.740644665,0.09409539,0.425925926,0
2.93753E-4,56.022851976,0.743503664,0.093199243,0.425925926,0
2.95341E-4,56.258656298,0.745383608,0.092402669,0.425925926,0
2.98256E-4,56.52595604,0.748797822,0.091506522,0.425925926,0
3.00062E-4,56.765318447,0.750890473,0.090709947,0.425925926,0
3.02984E-4,57.006906109,0.754239036,0.089913372,0.425925926,0
3.04432E-4,57.280363137,0.755881687,0.089017226,0.425925926,0
3.06954E-4,57.525047738,0.758717181,0.088220651,0.425925926,0
3.08086E-4,57.771145524,0.759978583,0.087424076,0.444444444,0
3.109E-4,58.01876857,0.763087447,0.086627502,0.462962963,0
3.14221E-4,58.268925934,0.76670346,0.085830927,0.462962963,0
3.16614E-4,58.52142909,0.769275024,0.085034352,0.462962963,0
3.20306E-4,58.776575574,0.773187474,0.084237778,0.462962963,0
3.21219E-4,59.001049137,0.774144348,0.083540775,0.462962963,0
3.23622E-4,59.259224052,0.776644437,0.0827442,0.462962963,0
3.25183E-4,59.518854964,0.778253382,0.081947625,0.462962963,0
3.27889E-4,59.780431311,0.781015657,0.08115105,0.462962963,0
3.29724E-4,60.01066409,0.782869222,0.080454048,0.462962963,0
3.31161E-4,60.275193594,0.784309201,0.079657473,0.462962963,0
3.32839E-4,60.507599173,0.785979188,0.07896047,0.462962963,0
3.34242E-4,60.774504165,0.787365643,0.078163895,0.462962963,0
3.35794E-4,61.009286376,0.78888897,0.077466892,0.462962963,0
3.37811E-4,61.278773676,0.79085169,0.076670318,0.481481481,0
3.39568E-4,61.51600757,0.792547536,0.075973315,0.481481481,0
3.40327E-4,61.754025535,0.793274865,0.075276312,0.481481481,0
3.42287E-4,62.027425212,0.795143794,0.074479737,0.481481481,0
3.43219E-4,62.267220096,0.796026111,0.073782734,0.481481481,0
3.44343E-4,62.507852011,0.797085016,0.073085731,0.481481481,0
3.46872E-4,62.78452179,0.799448492,0.072289157,0.5,0
3.4912E-4,63.028219067,0.801525534,0.071592154,0.5,0
3.50109E-4,63.27313309,0.80243314,0.070895151,0.5,0
3.5086E-4,63.518458058,0.803118791,0.070198148,0.5,0
3.52241E-4,63.76447525,0.804374663,0.069501145,0.5,0
3.53957E-4,64.011476761,0.805922983,0.068804142,0.5,0
3.57744E-4,64.261078427,0.809297943,0.068107139,0.518518519,0
3.59053E-4,64.51206399,0.810450113,0.067410136,0.518518519,0
3.60868E-4,64.763946467,0.812037569,0.066713134,0.537037037,0
3.61538E-4,65.016815015,0.812619839,0.066016131,0.537037037,0
3.62932E-4,65.270345002,0.813825333,0.065319128,0.537037037,0
3.64256E-4,65.524823821,0.814964168,0.064622125,0.537037037,0
3.66662E-4,65.780740532,0.817014534,0.063925122,0.537037037,0
3.69511E-4,66.001577115,0.819413474,0.063327691,0.537037037,0
3.70097E-4,66.260417685,0.819903185,0.062630688,0.537037037,0
3.72431E-4,66.520071834,0.821839319,0.061933685,0.537037037,0
3.74276E-4,66.781169281,0.823355365,0.061236682,0.537037037,0
3.77268E-4,67.006562733,0.825786697,0.060639251,0.537037037,0
3.78171E-4,67.270848118,0.82651403,0.059942248,0.537037037,0
3.81411E-4,67.53697543,0.829097808,0.059245245,0.537037037,0
3.82931E-4,67.766284416,0.830296747,0.058647814,0.537037037,0
3.85163E-4,68.073716807,0.83204241,0.05785124,0.537037037,0
3.85863E-4,68.266485088,0.832586323,0.05735338,0.555555556,0
3.86959E-4,68.537065819,0.83343418,0.056656378,0.555555556,0
3.89032E-4,68.769631691,0.835025497,0.056058947,0.555555556,0
3.90676E-4,69.003606645,0.836276947,0.055461515,0.574074074,0
3.92313E-4,69.277731411,0.837513392,0.054764513,0.574074074,0
3.93416E-4,69.513518975,0.838341823,0.054167082,0.574074074,0
3.94232E-4,69.789289181,0.838951494,0.053470079,0.574074074,0
3.9662E-4,70.026319862,0.840723551,0.052872648,0.574074074,0
3.99257E-4,70.305220702,0.842656781,0.052175645,0.574074074,0
4.00392E-4,70.505262207,0.843481971,0.051677786,0.574074074,0
4.02107E-4,70.786185291,0.844720401,0.050980783,0.574074074,0
4.03979E-4,71.027853114,0.846060955,0.050383352,0.574074074,0
4.05198E-4,71.270645648,0.846927535,0.049785921,0.574074074,0
4.07209E-4,71.514475121,0.848346478,0.049188489,0.574074074,0
4.09036E-4,71.759730625,0.849624915,0.048591058,0.592592593,0
4.10529E-4,72.005576237,0.850661211,0.047993627,0.592592593,0
4.12096E-4,72.252381823,0.851741336,0.047396196,0.611111111,0
4.13252E-4,72.500070386,0.852532772,0.046798765,0.62962963,0
4.13876E-4,72.789612594,0.852958431,0.046101762,0.62962963,0
4.17793E-4,73.03906144,0.85560252,0.045504331,0.62962963,0
4.18914E-4,73.290105048,0.856350092,0.0449069,0.62962963,0
4.19474E-4,73.541605544,0.856721955,0.044309469,0.648148148,0
4.20342E-4,73.751667498,0.857296888,0.04381161,0.648148148,0
